"chr","gene_id","gene_name","start","end","transcript","exon","cds"
"1","ENSG00000149527","PLCH2",2425980,2505532,8,118,88
"1","ENSG00000284739","",4963954,4973298,1,3,0
"1","ENSG00000007923","DNAJC11",6634168,6701924,11,85,47
"1","ENSG00000171621","SPSB1",9292894,9369532,4,10,7
"1","ENSG00000272235","",3306636,3310096,1,1,0
"1","ENSG00000236679","RPL23AP24",347982,348366,1,1,0
"1","ENSG00000284694","",4479131,4484375,1,2,0
"1","ENSG00000162441","LZIC",9922113,9943407,5,30,23
"1","ENSG00000230021","",586071,827796,15,59,0
"1","ENSG00000271264","MZT1P1",9780822,9781240,1,2,0
"1","ENSG00000287356","",2315040,2323085,2,7,0
"1","ENSG00000224387","",2492300,2493258,1,2,0
"1","ENSG00000187017","ESPN",6424776,6461367,17,92,76
"1","ENSG00000285629","",6159430,6197757,1,5,3
"1","ENSG00000173673","HES3",6244179,6245578,1,4,3
"1","ENSG00000227372","TP73-AS1",3735511,3747373,29,142,0
"1","ENSG00000142583","SLC2A5",9035106,9088478,10,63,49
"1","ENSG00000223663","NDUFB4P8",1378666,1379032,1,1,0
"1","ENSG00000107404","DVL1",1335276,1349418,8,65,52
"1","ENSG00000284674","LINC02781",4973381,4981568,1,5,0
"1","ENSG00000177000","MTHFR",11785723,11806455,19,153,96
"1","ENSG00000272161","",2326201,2326693,1,1,0
"1","ENSG00000237094","",365389,522928,25,82,0
"1","ENSG00000069424","KCNAB2",5990927,6101193,48,471,313
"1","ENSG00000224338","MTCYBP45",11425257,11425821,1,1,0
"1","ENSG00000074800","ENO1",8861000,8879190,16,115,58
"1","ENSG00000234546","LNCTAM34A",9182004,9196284,6,19,0
"1","ENSG00000116786","PLEKHM2",15684320,15734769,5,72,60
"1","ENSG00000287727","",10612222,10616452,1,2,0
"1","ENSG00000176022","B3GALT6",1232237,1235041,1,1,1
"1","ENSG00000223989","",9848318,9850154,1,3,0
"1","ENSG00000228423","",8805860,8807051,1,2,0
"1","ENSG00000286448","",266855,268655,1,2,0
"1","ENSG00000162496","DHRS3",12567910,12618210,4,16,12
"1","ENSG00000237365","",7008376,7014279,1,2,0
"1","ENSG00000131686","CA6",8945867,8975092,6,38,32
"1","ENSG00000229305","",8189824,8192770,1,4,0
"1","ENSG00000284703","",4012921,4019508,1,2,0
"1","ENSG00000226457","RPL22P3",16369150,16369530,1,1,0
"1","ENSG00000162494","LRRC38",13474973,13514003,1,2,2
"1","ENSG00000173614","NMNAT1",9943428,9985501,5,20,14
"1","ENSG00000248527","MTATP6P1",633696,634376,1,1,0
"1","ENSG00000237728","CAMTA1-AS2",7382487,7389754,2,5,0
"1","ENSG00000215720","MFFP1",15191828,15192845,1,2,0
"1","ENSG00000279804","PRAMEF18",13222705,13226106,1,3,3
"1","ENSG00000116273","PHF13",6613731,6624030,2,6,4
"1","ENSG00000241326","",9983141,9984568,1,2,0
"1","ENSG00000285701","",9900614,9908034,1,3,0
"1","ENSG00000233623","PGAM1P11",10058671,10059648,1,2,0
"1","ENSG00000162592","CCDC27",3746460,3771645,3,30,16
"1","ENSG00000116254","CHD5",6101787,6180321,6,137,101
"1","ENSG00000049245","VAMP3",7771296,7781432,3,12,8
"1","ENSG00000179743","FLJ37453",15834474,15848147,1,2,0
"1","ENSG00000233645","",8218190,8220529,1,2,0
"1","ENSG00000234064","PRAMEF29P",12926162,12928253,1,2,0
"1","ENSG00000204624","DISP3",11479155,11537551,3,28,25
"1","ENSG00000284708","",11623558,11643416,1,2,0
"1","ENSG00000171603","CLSTN1",9728926,9823984,6,76,59
"1","ENSG00000280113","",9826289,9828271,2,2,0
"1","ENSG00000142606","MMEL1",2590639,2633016,9,83,63
"1","ENSG00000235146","",587629,594768,2,4,0
"1","ENSG00000177674","AGTRAP",11736084,11754802,14,68,38
"1","ENSG00000162572","SCNN1D",1280436,1292029,8,96,76
"1","ENSG00000171608","PIK3CD",9651731,9729114,8,128,112
"1","ENSG00000225931","",2566410,2569888,1,3,0
"1","ENSG00000236601","",358857,366052,3,6,0
"1","ENSG00000171729","TMEM51",15152532,15220478,6,21,12
"1","ENSG00000228150","",9942923,9949974,1,2,0
"1","ENSG00000175262","C1orf127",10946471,10982037,5,37,31
"1","ENSG00000279457","WASH9P",185217,195411,1,10,0
"1","ENSG00000162571","TTLL10",1173880,1197936,8,61,39
"1","ENSG00000231181","",9576427,9576985,1,1,0
"1","ENSG00000238173","RPL39P6",11232963,11233112,1,1,0
"1","ENSG00000158109","TPRG1L",3625015,3630127,2,9,9
"1","ENSG00000229393","",2493437,2494479,1,2,0
"1","ENSG00000269978","",7700704,7700970,1,1,0
"1","ENSG00000037637","FBXO42",16246840,16352480,4,20,15
"1","ENSG00000184163","C1QTNF12",1242446,1246722,5,18,8
"1","ENSG00000287586","",4730211,4734992,2,4,0
"1","ENSG00000159423","ALDH4A1",18871430,18902724,6,70,63
"1","ENSG00000142599","RERE",8352397,8848921,20,177,129
"1","ENSG00000227169","",4551735,4552145,1,2,0
"1","ENSG00000283356","",5554747,5554881,1,1,0
"1","ENSG00000011021","CLCN6",11806096,11848079,10,142,82
"1","ENSG00000272482","",12618900,12619244,1,1,0
"1","ENSG00000284747","",7991134,8005312,2,8,0
"1","ENSG00000215912","TTC34",2635976,2801717,2,16,15
"1","ENSG00000120952","PRAMEF2",12857086,12861909,1,4,3
"1","ENSG00000243073","PRAMEF4",12879212,12886201,1,4,3
"1","ENSG00000142615","CELA2A",15456728,15472091,3,14,8
"1","ENSG00000215704","CELA2B",15465909,15491395,4,21,12
"1","ENSG00000065526","SPEN",15836095,15940456,6,42,36
"1","ENSG00000175756","AURKAIP1",1373730,1375495,6,19,12
"1","ENSG00000229484","LINC02766",12527724,12528420,1,2,0
"1","ENSG00000157916","RER1",2391775,2405442,9,49,36
"1","ENSG00000157881","PANK4",2508537,2526597,12,90,66
"1","ENSG00000116213","WRAP73",3630767,3652761,10,60,45
"1","ENSG00000283611","TMEM274P",9950572,9960787,1,5,0
"1","ENSG00000238290","",8026738,8122702,1,3,0
"1","ENSG00000225387","",18385829,18388514,1,2,0
"1","ENSG00000127463","EMC1",19215660,19251527,13,105,84
"1","ENSG00000048707","VPS13D",12230030,12512047,20,358,233
"1","ENSG00000158748","HTR6",19664875,19680966,1,3,3
"1","ENSG00000235643","LINC01647",11609468,11613358,1,3,0
"1","ENSG00000225196","RPL10P17",12220794,12221109,1,1,0
"1","ENSG00000130762","ARHGEF16",3454665,3481113,7,60,42
"1","ENSG00000187144","SPATA21",16387117,16437424,6,55,33
"1","ENSG00000162444","RBP7",9997206,10016021,2,9,6
"1","ENSG00000279169","PRAMEF13",13196188,13201409,2,6,5
"1","ENSG00000279625","",22364630,22366482,1,1,0
"1","ENSG00000180758","GPR157",9100305,9129102,3,8,6
"1","ENSG00000231219","PRAMEF32P",13273539,13275627,1,2,0
"1","ENSG00000229010","",23140325,23141142,1,1,0
"1","ENSG00000184677","ZBTB40",22428838,22531157,5,69,62
"1","ENSG00000230679","ENO1-AS1",8878835,8879894,1,2,0
"1","ENSG00000270136","MICOS10-NBL1",19597067,19656927,3,24,10
"1","ENSG00000132879","FBXO44",11654375,11663327,9,51,37
"1","ENSG00000187545","PRAMEF10",12892896,12898270,1,4,3
"1","ENSG00000288398","",16228674,16231335,1,1,0
"1","ENSG00000224621","",16159266,16161883,1,2,0
"1","ENSG00000239810","PRAMEF11",12824605,12831410,1,4,3
"1","ENSG00000285833","",11500803,11502016,1,2,0
"1","ENSG00000224459","SLC25A34-AS1",15740051,15749896,1,2,0
"1","ENSG00000116731","PRDM2",13700198,13825079,14,75,46
"1","ENSG00000116721","PRAMEF1",12791397,12796628,2,6,3
"1","ENSG00000215785","CFL1P6",10990978,10991797,1,2,0
"1","ENSG00000131697","NPHP4",5862811,5992473,11,155,77
"1","ENSG00000284692","",5478736,5493057,3,10,0
"1","ENSG00000284745","",2960658,2968707,2,6,0
"1","ENSG00000225952","",22835713,22836849,1,2,0
"1","ENSG00000280222","",18109389,18115861,1,1,0
"1","ENSG00000088280","ASAP3",23428563,23484568,12,137,86
"1","ENSG00000188807","TMEM201",9588911,9614877,5,33,30
"1","ENSG00000284693","LINC02606",9425094,9440564,3,6,0
"1","ENSG00000232298","GRHL3-AS1",24307556,24321901,1,5,0
"1","ENSG00000227634","LINC01714",8201518,8215210,3,13,0
"1","ENSG00000225315","",24040835,24086799,1,4,0
"1","ENSG00000198793","MTOR",11106535,11262551,7,106,83
"1","ENSG00000078900","TP73",3652516,3736201,14,146,123
"1","ENSG00000142661","MYOM3",24056035,24112135,4,63,46
"1","ENSG00000285945","",2768091,2784733,1,3,0
"1","ENSG00000171819","ANGPTL7",11189355,11195981,2,8,5
"1","ENSG00000229162","RUNX3-AS1",24961345,24963097,1,3,0
"1","ENSG00000197921","HES5",2528745,2530263,1,3,3
"1","ENSG00000233755","",25043707,25113120,2,5,0
"1","ENSG00000116288","PARK7",7954291,7985505,10,62,40
"1","ENSG00000238164","TNFRSF14-AS1",2549920,2557031,6,19,0
"1","ENSG00000233929","MT1XP1",16241213,16241398,1,1,0
"1","ENSG00000287810","",26817300,26817476,1,1,0
"1","ENSG00000271742","",15682873,15683128,1,1,0
"1","ENSG00000142677","IL22RA1",24119771,24143140,1,7,7
"1","ENSG00000131910","NR0B2",26911489,26913975,1,2,2
"1","ENSG00000185436","IFNLR1",24154168,24187959,5,30,28
"1","ENSG00000131914","LIN28A",26410817,26429728,2,9,8
"1","ENSG00000226396","",19608114,19608568,1,1,0
"1","ENSG00000232423","PRAMEF6",12938472,12947580,2,8,6
"1","ENSG00000229247","",26640377,26640614,1,1,0
"1","ENSG00000169504","CLIC4",24745382,24844321,4,21,12
"1","ENSG00000224311","",27229106,27234352,1,3,0
"1","ENSG00000225159","NPM1P39",27206930,27207796,1,1,0
"1","ENSG00000260063","",26692132,26694131,1,1,0
"1","ENSG00000272088","",3487246,3487627,1,1,0
"1","ENSG00000228338","LINC01784",12822686,12823159,1,2,0
"1","ENSG00000270728","",19297080,19297903,1,2,0
"1","ENSG00000169641","LUZP1",23084023,23177808,5,20,8
"1","ENSG00000181773","GPR3",27392622,27395814,1,2,1
"1","ENSG00000175707","KDF1",26949562,26960468,2,9,5
"1","ENSG00000241547","ACTG1P20",27325329,27325796,1,1,0
"1","ENSG00000224129","DPPA2P2",26519354,26520250,1,1,0
"1","ENSG00000234166","ARHGEF19-AS1",16197854,16198357,1,2,0
"1","ENSG00000230228","H3P1",23949016,23949383,1,1,0
"1","ENSG00000237436","CAMTA1-DT",6783892,6784843,1,3,0
"1","ENSG00000233954","UQCRHL",15807169,15809348,1,1,1
"1","ENSG00000174950","CD164L2",27379176,27383333,3,14,11
"1","ENSG00000235282","DYNLL1P3",18513118,18513383,1,1,0
"1","ENSG00000055070","SZRD1",16352575,16398145,10,40,16
"1","ENSG00000225891","DHDDS-AS1",26462756,26468014,2,7,0
"1","ENSG00000175087","PDIK1L",26111165,26125555,4,13,8
"1","ENSG00000171735","CAMTA1",6785454,7769706,16,89,66
"1","ENSG00000157191","NECAP2",16440721,16460078,12,75,50
"1","ENSG00000270733","",26263041,26263398,1,1,0
"1","ENSG00000284699","",24704894,24717596,1,4,0
"1","ENSG00000133226","SRRM1",24631716,24673281,23,164,73
"1","ENSG00000229985","",27176751,27177277,1,1,0
"1","ENSG00000162482","AKR7A3",19282573,19288770,1,7,7
"1","ENSG00000230035","IGSF21-AS1",18166929,18179346,1,4,0
"1","ENSG00000235185","",19591802,19596832,1,2,0
"1","ENSG00000236782","ZNF593OS",26169516,26171831,6,17,8
"1","ENSG00000215910","C1orf167",11761787,11789585,7,69,54
"1","ENSG00000116663","FBXO6",11664200,11674354,3,14,9
"1","ENSG00000225643","",25581478,25590356,1,2,0
"1","ENSG00000215695","RSC1A1",15659869,15661722,1,1,1
"1","ENSG00000284666","",5480787,5482028,1,2,0
"1","ENSG00000243659","",27311240,27311838,1,2,0
"1","ENSG00000240553","",23020147,23088058,1,2,0
"1","ENSG00000228943","",28109739,28110298,1,2,0
"1","ENSG00000215906","LACTBL1",22953043,22965338,2,12,12
"1","ENSG00000230703","MYOM3-AS1",24066774,24083565,1,3,0
"1","ENSG00000188822","CNR2",23870515,23913362,1,2,1
"1","ENSG00000232848","",8057245,8058463,1,2,0
"1","ENSG00000234397","PPIAP34",22322840,22323331,1,1,0
"1","ENSG00000090273","NUDC",26900238,26946871,4,23,18
"1","ENSG00000284309","",26046665,26049099,1,2,0
"1","ENSG00000227868","TEX46",23010834,23015852,3,7,7
"1","ENSG00000269925","",7776383,7776775,1,1,0
"1","ENSG00000142751","GPN2",26876132,26890283,5,19,12
"1","ENSG00000189266","PNRC2",23956839,23963462,5,15,6
"1","ENSG00000162511","LAPTM5",30732469,30757774,3,18,8
"1","ENSG00000158014","SLC30A2",26037252,26046118,3,18,15
"1","ENSG00000204138","PHACTR4",28369582,28500364,9,85,41
"1","ENSG00000233419","IFITM3P7",25125053,25125454,1,1,0
"1","ENSG00000235263","",9501092,9503471,1,2,0
"1","ENSG00000228176","",29708851,29709547,1,2,0
"1","ENSG00000229106","BTBD6P1",23901471,23902737,1,1,0
"1","ENSG00000236155","ZPLD2P",26209741,26229840,4,19,0
"1","ENSG00000231251","",30226523,30226615,1,1,0
"1","ENSG00000142675","CNKSR1",26177484,26189884,14,153,79
"1","ENSG00000197245","FAM110D",26159079,26163962,1,2,1
"1","ENSG00000231949","",30415825,30421108,1,3,0
"1","ENSG00000261025","",24968423,24970865,1,1,0
"1","ENSG00000116237","ICMT",6221193,6235972,4,17,10
"1","ENSG00000158195","WASF2",27404230,27490167,2,17,15
"1","ENSG00000130772","MED18",28329002,28335965,5,15,4
"1","ENSG00000215899","",31487589,31488930,1,1,0
"1","ENSG00000237429","",27525805,27530561,1,2,0
"1","ENSG00000271398","",28247144,28247568,1,1,0
"1","ENSG00000225011","",29488193,29496893,1,2,0
"1","ENSG00000215905","",24007881,24008519,1,2,0
"1","ENSG00000240731","",1317581,1318689,1,2,0
"1","ENSG00000235069","",26647447,26647681,1,1,0
"1","ENSG00000172746","RPL12P13",26980165,26980975,1,2,0
"1","ENSG00000284676","",29755175,29790597,1,5,0
"1","ENSG00000237058","MMEL1-AS1",2632568,2636620,1,2,0
"1","ENSG00000204160","ZDHHC18",26826688,26857604,5,31,26
"1","ENSG00000233399","LINC01648",30013952,30037612,1,7,0
"1","ENSG00000090020","SLC9A1",27098809,27166981,6,36,19
"1","ENSG00000225990","SNRPEP7",27211265,27211484,1,1,0
"1","ENSG00000157978","LDLRAP1",25543606,25568886,7,31,9
"1","ENSG00000226944","RNF207-AS1",6204840,6205780,1,3,0
"1","ENSG00000158246","TENT5B",27005020,27012850,1,2,2
"1","ENSG00000270282","",8512653,8513021,1,1,0
"1","ENSG00000130770","ATP5IF1",28236109,28246906,4,11,11
"1","ENSG00000117305","HMGCL",23801885,23838620,9,52,21
"1","ENSG00000235131","TP73-AS2",3712200,3714298,1,2,0
"1","ENSG00000229044","",31333067,31346799,1,3,0
"1","ENSG00000162512","SDC3",30869466,30908758,4,15,8
"1","ENSG00000179840","PIK3CD-AS1",9652610,9654586,1,2,0
"1","ENSG00000272449","",2530064,2547460,2,3,0
"1","ENSG00000214973","CHCHD3P3",27200834,27201473,1,1,0
"1","ENSG00000198746","GPATCH3",26890488,26900467,3,13,13
"1","ENSG00000158006","PAFAH2",25959767,25998117,7,46,30
"1","ENSG00000188529","SRSF10",23964347,23980927,16,76,45
"1","ENSG00000214812","",28120449,28121321,1,2,0
"1","ENSG00000142784","WDTC1",27234632,27308636,5,61,47
"1","ENSG00000230023","LINC02800",24200240,24211693,1,3,0
"1","ENSG00000227950","",6834333,6834618,1,1,0
"1","ENSG00000117682","DHDDS",26432282,26471306,25,134,85
"1","ENSG00000175793","SFN",26863149,26864456,1,1,1
"1","ENSG00000126698","DNAJC8",28199456,28233029,6,35,13
"1","ENSG00000229447","",31263245,31263681,1,1,0
"1","ENSG00000229607","",30810378,30815553,1,2,0
"1","ENSG00000229994","RPL5P4",35350722,35351607,1,1,0
"1","ENSG00000130766","SESN2",28259518,28282491,1,10,10
"1","ENSG00000168528","SERINC2",31409565,31434680,6,57,41
"1","ENSG00000196581","AJAP1",4654609,4792534,3,14,10
"1","ENSG00000169403","PTAFR",28147166,28193936,3,7,3
"1","ENSG00000117676","RPS6KA1",26529761,26575030,20,206,135
"1","ENSG00000198830","HMGN2",26472440,26476642,10,50,12
"1","ENSG00000225126","CAMTA1-AS1",7441096,7441554,1,2,0
"1","ENSG00000084628","NKAIN1",31179745,31239887,5,21,16
"1","ENSG00000060688","SNRNP40",31259568,31296788,7,29,14
"1","ENSG00000236335","",30409560,30411638,1,3,0
"1","ENSG00000171612","SLC25A33",9539465,9585173,1,7,7
"1","ENSG00000241169","",27457198,27459582,1,2,0
"1","ENSG00000278572","",26218581,26220476,1,3,0
"1","ENSG00000227001","NBPF2P",21424625,21427967,1,5,0
"1","ENSG00000270927","",29904865,29905357,1,1,0
"1","ENSG00000226698","",26876133,26878245,1,2,0
"1","ENSG00000284744","",6767954,6770038,1,3,0
"1","ENSG00000162458","FBLIM1",15756607,15786594,15,72,37
"1","ENSG00000188910","GJB3",34781214,34786369,2,4,2
"1","ENSG00000230523","LINC01756",29329620,29350114,1,3,0
"1","ENSG00000186056","MATN1-AS1",30718504,30726827,5,17,0
"1","ENSG00000116138","DNAJC16",15526813,15592379,10,97,65
"1","ENSG00000231207","",27389468,27390145,1,2,0
"1","ENSG00000142765","SYTL1",27342020,27353937,11,99,57
"1","ENSG00000158161","EYA3",27970344,28088637,8,111,75
"1","ENSG00000270330","",7942372,7942726,1,1,0
"1","ENSG00000142684","ZNF593",26169908,26170873,2,5,5
"1","ENSG00000060642","PIGV",26787054,26800659,10,40,26
"1","ENSG00000224064","RPL32P6",26983628,26984024,1,1,0
"1","ENSG00000234619","RPL7P11",8750430,8751087,1,1,0
"1","ENSG00000121769","FABP3",31365253,31376850,4,18,11
"1","ENSG00000236963","LINC01141",20360579,20431234,11,74,0
"1","ENSG00000232557","",23907111,23907885,1,2,0
"1","ENSG00000157330","C1orf158",12746200,12763699,3,9,7
"1","ENSG00000162413","KLHL21",6590724,6614607,6,21,16
"1","ENSG00000142627","EPHA2",16124337,16156069,4,27,17
"1","ENSG00000284668","LINC02780",3976133,4012704,3,13,0
"1","ENSG00000233234","",2811850,2812692,1,2,0
"1","ENSG00000142632","ARHGEF19",16197854,16212652,6,43,23
"1","ENSG00000234593","KAZN-AS1",14338825,14419973,7,31,0
"1","ENSG00000162490","DRAXIN",11691710,11725857,1,7,6
"1","ENSG00000158292","GPR153",6247353,6261098,1,6,5
"1","ENSG00000270605","",28239509,28241453,1,1,0
"1","ENSG00000238199","UBE2V2P3",11278616,11279351,1,2,0
"1","ENSG00000142733","MAP3K6",27354067,27366961,9,118,61
"1","ENSG00000189337","KAZN",13892792,15118043,9,80,69
"1","ENSG00000270601","PRAMEF5",13254212,13263314,1,4,3
"1","ENSG00000233268","",9660828,9662626,1,2,0
"1","ENSG00000232912","RERE-AS1",8424645,8435013,3,11,0
"1","ENSG00000235084","CHCHD2P6",15604597,15605043,1,1,0
"1","ENSG00000235143","",30858158,30860254,1,2,0
"1","ENSG00000225478","",18595414,18595636,1,1,0
"1","ENSG00000225077","LINC00337",6234692,6239444,3,11,0
"1","ENSG00000028137","TNFRSF1B",12166991,12209228,4,27,15
"1","ENSG00000223944","",37154761,37325100,3,12,0
"1","ENSG00000238249","HMGN2P17",8893409,8894151,1,1,0
"1","ENSG00000187952","HS6ST1P1",21428303,21429536,1,1,0
"1","ENSG00000237938","",15720312,15736896,3,12,0
"1","ENSG00000227409","ZMYM4-AS1",35358822,35366077,1,2,0
"1","ENSG00000204464","C1orf195",15164344,15171317,2,4,0
"1","ENSG00000233372","",30140263,30141607,1,2,0
"1","ENSG00000162460","TMEM82",15742499,15747982,2,9,6
"1","ENSG00000283259","",2773603,2776473,1,10,0
"1","ENSG00000142687","KIAA0319L",35433492,35557950,20,143,86
"1","ENSG00000284543","LINC01226",31506226,31583306,9,29,0
"1","ENSG00000223382","LINC01778",30824217,30834864,14,58,0
"1","ENSG00000226166","",12692909,12693020,1,1,0
"1","ENSG00000130939","UBE4B",10032832,10181239,10,115,98
"1","ENSG00000236216","PPP1R11P1",21397987,21398362,1,1,0
"1","ENSG00000175147","TMEM51-AS1",15111815,15153618,6,23,0
"1","ENSG00000236266","",7810242,7827342,1,3,0
"1","ENSG00000127472","PLA2G5",20028179,20091911,8,56,4
"1","ENSG00000231103","PRAMEF30P",12838125,12841357,1,4,0
"1","ENSG00000060656","PTPRU",29236516,29326813,11,160,122
"1","ENSG00000163867","ZMYM6",34986165,35031945,9,58,26
"1","ENSG00000232768","",31050872,31051034,1,1,0
"1","ENSG00000225294","OSTCP2",26985897,26986340,1,1,0
"1","ENSG00000230214","FTLP18",36630335,36630857,1,1,0
"1","ENSG00000189280","GJB5",34755047,34758512,1,2,1
"1","ENSG00000134698","AGO4",35808016,35857890,3,23,18
"1","ENSG00000226487","",20412304,20413253,1,3,0
"1","ENSG00000134690","CDCA8",37692481,37709719,2,21,20
"1","ENSG00000272420","",2363061,2363628,1,1,0
"1","ENSG00000224333","GAPDHP20",32402109,32403115,1,1,0
"1","ENSG00000226664","",20294211,20323187,1,2,0
"1","ENSG00000132881","CPLANE2",16231692,16237183,2,9,9
"1","ENSG00000273274","ZBTB8B",32465072,32496686,1,4,3
"1","ENSG00000224321","RPL12P14",15792796,15793285,1,1,0
"1","ENSG00000233621","LINC01137",37350934,37474411,2,5,0
"1","ENSG00000228940","",40938104,40939763,1,3,0
"1","ENSG00000116251","RPL22",6185020,6209389,7,29,17
"1","ENSG00000272510","",15565611,15565956,1,1,0
"1","ENSG00000158286","RNF207",6205475,6221299,9,54,17
"1","ENSG00000236648","LINC02810",17717625,17749978,4,14,0
"1","ENSG00000232273","FTH1P1",37544763,37545294,1,1,0
"1","ENSG00000237276","ANO7L1",16215909,16228027,3,22,0
"1","ENSG00000227959","",16155211,16157329,1,2,0
"1","ENSG00000009709","PAX7",18630846,18748866,3,25,25
"1","ENSG00000043514","TRIT1",39838110,39883511,16,119,66
"1","ENSG00000186543","CROCCP5",21434318,21437558,1,5,0
"1","ENSG00000287396","",2814056,2817767,1,2,0
"1","ENSG00000231789","PIK3CD-AS2",9672426,9687555,1,3,0
"1","ENSG00000162510","MATN1",30711277,30723585,3,14,8
"1","ENSG00000179002","TAS1R2",18839599,18859682,1,6,6
"1","ENSG00000223589","",38080572,38080911,1,1,0
"1","ENSG00000188984","AADACL3",12716110,12728760,2,7,4
"1","ENSG00000229259","LRRC37A12P",32423214,32426789,1,4,0
"1","ENSG00000270171","",7693124,7694844,1,1,0
"1","ENSG00000158008","EXTL1",26019884,26036464,4,24,11
"1","ENSG00000269732","WBP1LP7",439870,440232,1,1,0
"1","ENSG00000130940","CASZ1",10636604,10796650,9,61,35
"1","ENSG00000116771","AGMAT",15571699,15585051,1,7,7
"1","ENSG00000237301","",15586136,15603626,1,2,0
"1","ENSG00000162585","FAAP20",2184461,2212720,15,67,30
"1","ENSG00000163879","DNALI1",37556919,37566857,6,23,12
"1","ENSG00000227527","",42335386,42338376,1,2,0
"1","ENSG00000127129","EDN2",41478775,41484683,5,25,5
"1","ENSG00000228823","PDE4DIPP10",21411460,21413293,1,2,0
"1","ENSG00000010803","SCMH1",41027200,41242154,17,174,127
"1","ENSG00000229901","FOXO6-AS1",41375004,41375669,1,2,0
"1","ENSG00000169991","IFFO2",18904280,18956676,3,20,20
"1","ENSG00000116954","RRAGC",38838198,38859772,4,16,7
"1","ENSG00000117013","KCNQ4",40783787,40840452,4,51,40
"1","ENSG00000228589","SPCS2P4",28095742,28096422,1,1,0
"1","ENSG00000163873","GRIK3",36795527,37034515,4,37,31
"1","ENSG00000233431","LINC02596",21586472,21591187,1,2,0
"1","ENSG00000117215","PLA2G2D",20111939,20119566,2,7,7
"1","ENSG00000223583","",26454653,26455187,1,1,0
"1","ENSG00000196449","YRDC",37802945,37808208,1,5,5
"1","ENSG00000250575","",491225,493241,1,2,0
"1","ENSG00000237700","PRAMEF33",13303539,13308907,1,4,3
"1","ENSG00000253368","TRNP1",26993692,27000886,2,4,2
"1","ENSG00000179862","CITED4",40861054,40862363,1,1,1
"1","ENSG00000116661","FBXO2",11637018,11655785,6,24,13
"1","ENSG00000230163","",34850694,34851555,1,2,0
"1","ENSG00000287400","",41241772,41338644,1,2,0
"1","ENSG00000227538","HNRNPFP1",42040597,42041729,1,1,0
"1","ENSG00000232208","",8907393,8907744,1,1,0
"1","ENSG00000162461","SLC25A34",15736258,15741392,3,11,5
"1","ENSG00000236500","CD24P1",15614643,15614867,1,1,0
"1","ENSG00000044012","GUCA2B",42153410,42155820,1,3,3
