"gene_id","pathway_id","gene_name","pathway_name"
5213,"hsa00030","PFKM","Pentose phosphate pathway"
5214,"hsa00030","PFKP","Pentose phosphate pathway"
5211,"hsa00030","PFKL","Pentose phosphate pathway"
2990,"hsa00040","GUSB","Pentose and glucuronate interconversions"
9365,"hsa00040","KL","Pentose and glucuronate interconversions"
10941,"hsa00040","UGT2A1","Pentose and glucuronate interconversions"
79799,"hsa00040","UGT2A3","Pentose and glucuronate interconversions"
7367,"hsa00040","UGT2B17","Pentose and glucuronate interconversions"
10720,"hsa00040","UGT2B11","Pentose and glucuronate interconversions"
54490,"hsa00040","UGT2B28","Pentose and glucuronate interconversions"
54578,"hsa00040","UGT1A6","Pentose and glucuronate interconversions"
54657,"hsa00040","UGT1A4","Pentose and glucuronate interconversions"
54658,"hsa00040","UGT1A1","Pentose and glucuronate interconversions"
54659,"hsa00040","UGT1A3","Pentose and glucuronate interconversions"
7365,"hsa00040","UGT2B10","Pentose and glucuronate interconversions"
54600,"hsa00040","UGT1A9","Pentose and glucuronate interconversions"
7364,"hsa00040","UGT2B7","Pentose and glucuronate interconversions"
54575,"hsa00040","UGT1A10","Pentose and glucuronate interconversions"
54576,"hsa00040","UGT1A8","Pentose and glucuronate interconversions"
54579,"hsa00040","UGT1A5","Pentose and glucuronate interconversions"
7366,"hsa00040","UGT2B15","Pentose and glucuronate interconversions"
54577,"hsa00040","UGT1A7","Pentose and glucuronate interconversions"
7363,"hsa00040","UGT2B4","Pentose and glucuronate interconversions"
574537,"hsa00040","UGT2A2","Pentose and glucuronate interconversions"
7358,"hsa00040","UGDH","Pentose and glucuronate interconversions"
7360,"hsa00040","UGP2","Pentose and glucuronate interconversions"
10327,"hsa00040","AKR1A1","Pentose and glucuronate interconversions"
51084,"hsa00040","CRYL1","Pentose and glucuronate interconversions"
6120,"hsa00040","RPE","Pentose and glucuronate interconversions"
729020,"hsa00040","RPEL1","Pentose and glucuronate interconversions"
9942,"hsa00040","XYLB","Pentose and glucuronate interconversions"
231,"hsa00040","AKR1B1","Pentose and glucuronate interconversions"
57016,"hsa00040","AKR1B10","Pentose and glucuronate interconversions"
51181,"hsa00040","DCXR","Pentose and glucuronate interconversions"
6652,"hsa00040","SORD","Pentose and glucuronate interconversions"
27294,"hsa00040","DHDH","Pentose and glucuronate interconversions"
729920,"hsa00040","CRPPA","Pentose and glucuronate interconversions"
4351,"hsa00051","MPI","Fructose and mannose metabolism"
5373,"hsa00051","PMM2","Fructose and mannose metabolism"
5372,"hsa00051","PMM1","Fructose and mannose metabolism"
29925,"hsa00051","GMPPB","Fructose and mannose metabolism"
29926,"hsa00051","GMPPA","Fructose and mannose metabolism"
2762,"hsa00051","GMDS","Fructose and mannose metabolism"
7264,"hsa00051","GFUS","Fructose and mannose metabolism"
8790,"hsa00051","FPGT","Fructose and mannose metabolism"
197258,"hsa00051","FCSK","Fructose and mannose metabolism"
55556,"hsa00051","ENOSF1","Fructose and mannose metabolism"
3101,"hsa00051","HK3","Fructose and mannose metabolism"
3098,"hsa00051","HK1","Fructose and mannose metabolism"
3099,"hsa00051","HK2","Fructose and mannose metabolism"
80201,"hsa00051","HKDC1","Fructose and mannose metabolism"
5213,"hsa00051","PFKM","Fructose and mannose metabolism"
5214,"hsa00051","PFKP","Fructose and mannose metabolism"
5211,"hsa00051","PFKL","Fructose and mannose metabolism"
2203,"hsa00051","FBP1","Fructose and mannose metabolism"
8789,"hsa00051","FBP2","Fructose and mannose metabolism"
5207,"hsa00051","PFKFB1","Fructose and mannose metabolism"
5208,"hsa00051","PFKFB2","Fructose and mannose metabolism"
5209,"hsa00051","PFKFB3","Fructose and mannose metabolism"
5210,"hsa00051","PFKFB4","Fructose and mannose metabolism"
57103,"hsa00051","TIGAR","Fructose and mannose metabolism"
3795,"hsa00051","KHK","Fructose and mannose metabolism"
6652,"hsa00051","SORD","Fructose and mannose metabolism"
231,"hsa00051","AKR1B1","Fructose and mannose metabolism"
57016,"hsa00051","AKR1B10","Fructose and mannose metabolism"
230,"hsa00051","ALDOC","Fructose and mannose metabolism"
226,"hsa00051","ALDOA","Fructose and mannose metabolism"
229,"hsa00051","ALDOB","Fructose and mannose metabolism"
7167,"hsa00051","TPI1","Fructose and mannose metabolism"
26007,"hsa00051","TKFC","Fructose and mannose metabolism"
130589,"hsa00052","GALM","Galactose metabolism"
2584,"hsa00052","GALK1","Galactose metabolism"
2592,"hsa00052","GALT","Galactose metabolism"
2582,"hsa00052","GALE","Galactose metabolism"
7360,"hsa00052","UGP2","Galactose metabolism"
5236,"hsa00052","PGM1","Galactose metabolism"
55276,"hsa00052","PGM2","Galactose metabolism"
3101,"hsa00052","HK3","Galactose metabolism"
3098,"hsa00052","HK1","Galactose metabolism"
3099,"hsa00052","HK2","Galactose metabolism"
80201,"hsa00052","HKDC1","Galactose metabolism"
2645,"hsa00052","GCK","Galactose metabolism"
2538,"hsa00052","G6PC1","Galactose metabolism"
57818,"hsa00052","G6PC2","Galactose metabolism"
92579,"hsa00052","G6PC3","Galactose metabolism"
2720,"hsa00052","GLB1","Galactose metabolism"
3938,"hsa00052","LCT","Galactose metabolism"
3906,"hsa00052","LALBA","Galactose metabolism"
2683,"hsa00052","B4GALT1","Galactose metabolism"
8704,"hsa00052","B4GALT2","Galactose metabolism"
2717,"hsa00052","GLA","Galactose metabolism"
231,"hsa00052","AKR1B1","Galactose metabolism"
57016,"hsa00052","AKR1B10","Galactose metabolism"
5213,"hsa00052","PFKM","Galactose metabolism"
5214,"hsa00052","PFKP","Galactose metabolism"
5211,"hsa00052","PFKL","Galactose metabolism"
8972,"hsa00052","MGAM","Galactose metabolism"
93432,"hsa00052","MGAM2","Galactose metabolism"
2548,"hsa00052","GAA","Galactose metabolism"
2595,"hsa00052","GANC","Galactose metabolism"
6476,"hsa00052","SI","Galactose metabolism"
7358,"hsa00053","UGDH","Ascorbate and aldarate metabolism"
10941,"hsa00053","UGT2A1","Ascorbate and aldarate metabolism"
79799,"hsa00053","UGT2A3","Ascorbate and aldarate metabolism"
7367,"hsa00053","UGT2B17","Ascorbate and aldarate metabolism"
10720,"hsa00053","UGT2B11","Ascorbate and aldarate metabolism"
54490,"hsa00053","UGT2B28","Ascorbate and aldarate metabolism"
54578,"hsa00053","UGT1A6","Ascorbate and aldarate metabolism"
54657,"hsa00053","UGT1A4","Ascorbate and aldarate metabolism"
54658,"hsa00053","UGT1A1","Ascorbate and aldarate metabolism"
54659,"hsa00053","UGT1A3","Ascorbate and aldarate metabolism"
7365,"hsa00053","UGT2B10","Ascorbate and aldarate metabolism"
54600,"hsa00053","UGT1A9","Ascorbate and aldarate metabolism"
7364,"hsa00053","UGT2B7","Ascorbate and aldarate metabolism"
54575,"hsa00053","UGT1A10","Ascorbate and aldarate metabolism"
54576,"hsa00053","UGT1A8","Ascorbate and aldarate metabolism"
54579,"hsa00053","UGT1A5","Ascorbate and aldarate metabolism"
7366,"hsa00053","UGT2B15","Ascorbate and aldarate metabolism"
54577,"hsa00053","UGT1A7","Ascorbate and aldarate metabolism"
7363,"hsa00053","UGT2B4","Ascorbate and aldarate metabolism"
574537,"hsa00053","UGT2A2","Ascorbate and aldarate metabolism"
2990,"hsa00053","GUSB","Ascorbate and aldarate metabolism"
9365,"hsa00053","KL","Ascorbate and aldarate metabolism"
55586,"hsa00053","MIOX","Ascorbate and aldarate metabolism"
10327,"hsa00053","AKR1A1","Ascorbate and aldarate metabolism"
9104,"hsa00053","RGN","Ascorbate and aldarate metabolism"
217,"hsa00053","ALDH2","Ascorbate and aldarate metabolism"
224,"hsa00053","ALDH3A2","Ascorbate and aldarate metabolism"
219,"hsa00053","ALDH1B1","Ascorbate and aldarate metabolism"
501,"hsa00053","ALDH7A1","Ascorbate and aldarate metabolism"
223,"hsa00053","ALDH9A1","Ascorbate and aldarate metabolism"
8972,"hsa00500","MGAM","Starch and sucrose metabolism"
93432,"hsa00500","MGAM2","Starch and sucrose metabolism"
2548,"hsa00500","GAA","Starch and sucrose metabolism"
2595,"hsa00500","GANC","Starch and sucrose metabolism"
6476,"hsa00500","SI","Starch and sucrose metabolism"
7360,"hsa00500","UGP2","Starch and sucrose metabolism"
5167,"hsa00500","ENPP1","Starch and sucrose metabolism"
5169,"hsa00500","ENPP3","Starch and sucrose metabolism"
57733,"hsa00500","GBA3","Starch and sucrose metabolism"
2998,"hsa00500","GYS2","Starch and sucrose metabolism"
2997,"hsa00500","GYS1","Starch and sucrose metabolism"
2992,"hsa00500","GYG1","Starch and sucrose metabolism"
8908,"hsa00500","GYG2","Starch and sucrose metabolism"
2632,"hsa00500","GBE1","Starch and sucrose metabolism"
5836,"hsa00500","PYGL","Starch and sucrose metabolism"
5837,"hsa00500","PYGM","Starch and sucrose metabolism"
5834,"hsa00500","PYGB","Starch and sucrose metabolism"
178,"hsa00500","AGL","Starch and sucrose metabolism"
278,"hsa00500","AMY1C","Starch and sucrose metabolism"
279,"hsa00500","AMY2A","Starch and sucrose metabolism"
276,"hsa00500","AMY1A","Starch and sucrose metabolism"
280,"hsa00500","AMY2B","Starch and sucrose metabolism"
277,"hsa00500","AMY1B","Starch and sucrose metabolism"
11181,"hsa00500","TREH","Starch and sucrose metabolism"
5236,"hsa00500","PGM1","Starch and sucrose metabolism"
55276,"hsa00500","PGM2","Starch and sucrose metabolism"
3101,"hsa00500","HK3","Starch and sucrose metabolism"
3098,"hsa00500","HK1","Starch and sucrose metabolism"
3099,"hsa00500","HK2","Starch and sucrose metabolism"
80201,"hsa00500","HKDC1","Starch and sucrose metabolism"
2645,"hsa00500","GCK","Starch and sucrose metabolism"
2538,"hsa00500","G6PC1","Starch and sucrose metabolism"
57818,"hsa00500","G6PC2","Starch and sucrose metabolism"
92579,"hsa00500","G6PC3","Starch and sucrose metabolism"
283209,"hsa00500","PGM2L1","Starch and sucrose metabolism"
2821,"hsa00500","GPI","Starch and sucrose metabolism"
27159,"hsa00520","CHIA","Amino sugar and nucleotide sugar metabolism"
1118,"hsa00520","CHIT1","Amino sugar and nucleotide sugar metabolism"
3073,"hsa00520","HEXA","Amino sugar and nucleotide sugar metabolism"
3074,"hsa00520","HEXB","Amino sugar and nucleotide sugar metabolism"
55577,"hsa00520","NAGK","Amino sugar and nucleotide sugar metabolism"
5238,"hsa00520","PGM3","Amino sugar and nucleotide sugar metabolism"
6675,"hsa00520","UAP1","Amino sugar and nucleotide sugar metabolism"
91373,"hsa00520","UAP1L1","Amino sugar and nucleotide sugar metabolism"
10020,"hsa00520","GNE","Amino sugar and nucleotide sugar metabolism"
5973,"hsa00520","RENBP","Amino sugar and nucleotide sugar metabolism"
54187,"hsa00520","NANS","Amino sugar and nucleotide sugar metabolism"
140838,"hsa00520","NANP","Amino sugar and nucleotide sugar metabolism"
80896,"hsa00520","NPL","Amino sugar and nucleotide sugar metabolism"
55907,"hsa00520","CMAS","Amino sugar and nucleotide sugar metabolism"
51706,"hsa00520","CYB5R1","Amino sugar and nucleotide sugar metabolism"
1727,"hsa00520","CYB5R3","Amino sugar and nucleotide sugar metabolism"
51700,"hsa00520","CYB5R2","Amino sugar and nucleotide sugar metabolism"
606495,"hsa00520","CYB5RL","Amino sugar and nucleotide sugar metabolism"
51167,"hsa00520","CYB5R4","Amino sugar and nucleotide sugar metabolism"
3101,"hsa00520","HK3","Amino sugar and nucleotide sugar metabolism"
3098,"hsa00520","HK1","Amino sugar and nucleotide sugar metabolism"
3099,"hsa00520","HK2","Amino sugar and nucleotide sugar metabolism"
80201,"hsa00520","HKDC1","Amino sugar and nucleotide sugar metabolism"
51005,"hsa00520","AMDHD2","Amino sugar and nucleotide sugar metabolism"
64841,"hsa00520","GNPNAT1","Amino sugar and nucleotide sugar metabolism"
10007,"hsa00520","GNPDA1","Amino sugar and nucleotide sugar metabolism"
132789,"hsa00520","GNPDA2","Amino sugar and nucleotide sugar metabolism"
9945,"hsa00520","GFPT2","Amino sugar and nucleotide sugar metabolism"
2673,"hsa00520","GFPT1","Amino sugar and nucleotide sugar metabolism"
80146,"hsa00520","UXS1","Amino sugar and nucleotide sugar metabolism"
2645,"hsa00520","GCK","Amino sugar and nucleotide sugar metabolism"
2821,"hsa00520","GPI","Amino sugar and nucleotide sugar metabolism"
5236,"hsa00520","PGM1","Amino sugar and nucleotide sugar metabolism"
55276,"hsa00520","PGM2","Amino sugar and nucleotide sugar metabolism"
7360,"hsa00520","UGP2","Amino sugar and nucleotide sugar metabolism"
7358,"hsa00520","UGDH","Amino sugar and nucleotide sugar metabolism"
2584,"hsa00520","GALK1","Amino sugar and nucleotide sugar metabolism"
2592,"hsa00520","GALT","Amino sugar and nucleotide sugar metabolism"
2582,"hsa00520","GALE","Amino sugar and nucleotide sugar metabolism"
5373,"hsa00520","PMM2","Amino sugar and nucleotide sugar metabolism"
5372,"hsa00520","PMM1","Amino sugar and nucleotide sugar metabolism"
29925,"hsa00520","GMPPB","Amino sugar and nucleotide sugar metabolism"
29926,"hsa00520","GMPPA","Amino sugar and nucleotide sugar metabolism"
2762,"hsa00520","GMDS","Amino sugar and nucleotide sugar metabolism"
4351,"hsa00520","MPI","Amino sugar and nucleotide sugar metabolism"
197258,"hsa00520","FCSK","Amino sugar and nucleotide sugar metabolism"
8790,"hsa00520","FPGT","Amino sugar and nucleotide sugar metabolism"
7264,"hsa00520","GFUS","Amino sugar and nucleotide sugar metabolism"
84532,"hsa00620","ACSS1","Pyruvate metabolism"
55902,"hsa00620","ACSS2","Pyruvate metabolism"
5161,"hsa00620","PDHA2","Pyruvate metabolism"
5160,"hsa00620","PDHA1","Pyruvate metabolism"
5162,"hsa00620","PDHB","Pyruvate metabolism"
1737,"hsa00620","DLAT","Pyruvate metabolism"
1738,"hsa00620","DLD","Pyruvate metabolism"
8050,"hsa00620","PDHX","Pyruvate metabolism"
124,"hsa00620","ADH1A","Pyruvate metabolism"
125,"hsa00620","ADH1B","Pyruvate metabolism"
126,"hsa00620","ADH1C","Pyruvate metabolism"
131,"hsa00620","ADH7","Pyruvate metabolism"
127,"hsa00620","ADH4","Pyruvate metabolism"
130,"hsa00620","ADH6","Pyruvate metabolism"
128,"hsa00620","ADH5","Pyruvate metabolism"
10327,"hsa00620","AKR1A1","Pyruvate metabolism"
5315,"hsa00620","PKM","Pyruvate metabolism"
5313,"hsa00620","PKLR","Pyruvate metabolism"
31,"hsa00620","ACACA","Pyruvate metabolism"
32,"hsa00620","ACACB","Pyruvate metabolism"
98,"hsa00620","ACYP2","Pyruvate metabolism"
97,"hsa00620","ACYP1","Pyruvate metabolism"
217,"hsa00620","ALDH2","Pyruvate metabolism"
224,"hsa00620","ALDH3A2","Pyruvate metabolism"
219,"hsa00620","ALDH1B1","Pyruvate metabolism"
501,"hsa00620","ALDH7A1","Pyruvate metabolism"
223,"hsa00620","ALDH9A1","Pyruvate metabolism"
134526,"hsa00620","ACOT12","Pyruvate metabolism"
160287,"hsa00620","LDHAL6A","Pyruvate metabolism"
92483,"hsa00620","LDHAL6B","Pyruvate metabolism"
3939,"hsa00620","LDHA","Pyruvate metabolism"
3945,"hsa00620","LDHB","Pyruvate metabolism"
3948,"hsa00620","LDHC","Pyruvate metabolism"
197257,"hsa00620","LDHD","Pyruvate metabolism"
2739,"hsa00620","GLO1","Pyruvate metabolism"
3029,"hsa00620","HAGH","Pyruvate metabolism"
9380,"hsa00620","GRHPR","Pyruvate metabolism"
4200,"hsa00620","ME2","Pyruvate metabolism"
10873,"hsa00620","ME3","Pyruvate metabolism"
4199,"hsa00620","ME1","Pyruvate metabolism"
5091,"hsa00620","PC","Pyruvate metabolism"
4190,"hsa00620","MDH1","Pyruvate metabolism"
4191,"hsa00620","MDH2","Pyruvate metabolism"
2271,"hsa00620","FH","Pyruvate metabolism"
5105,"hsa00620","PCK1","Pyruvate metabolism"
5106,"hsa00620","PCK2","Pyruvate metabolism"
39,"hsa00620","ACAT2","Pyruvate metabolism"
38,"hsa00620","ACAT1","Pyruvate metabolism"
84532,"hsa00630","ACSS1","Glyoxylate and dicarboxylate metabolism"
55902,"hsa00630","ACSS2","Glyoxylate and dicarboxylate metabolism"
4190,"hsa00630","MDH1","Glyoxylate and dicarboxylate metabolism"
4191,"hsa00630","MDH2","Glyoxylate and dicarboxylate metabolism"
1431,"hsa00630","CS","Glyoxylate and dicarboxylate metabolism"
50,"hsa00630","ACO2","Glyoxylate and dicarboxylate metabolism"
48,"hsa00630","ACO1","Glyoxylate and dicarboxylate metabolism"
39,"hsa00630","ACAT2","Glyoxylate and dicarboxylate metabolism"
38,"hsa00630","ACAT1","Glyoxylate and dicarboxylate metabolism"
84693,"hsa00630","MCEE","Glyoxylate and dicarboxylate metabolism"
5095,"hsa00630","PCCA","Glyoxylate and dicarboxylate metabolism"
5096,"hsa00630","PCCB","Glyoxylate and dicarboxylate metabolism"
4594,"hsa00630","MMUT","Glyoxylate and dicarboxylate metabolism"
51179,"hsa00630","HAO2","Glyoxylate and dicarboxylate metabolism"
54363,"hsa00630","HAO1","Glyoxylate and dicarboxylate metabolism"
847,"hsa00630","CAT","Glyoxylate and dicarboxylate metabolism"
9380,"hsa00630","GRHPR","Glyoxylate and dicarboxylate metabolism"
283871,"hsa00630","PGP","Glyoxylate and dicarboxylate metabolism"
189,"hsa00630","AGXT","Glyoxylate and dicarboxylate metabolism"
2752,"hsa00630","GLUL","Glyoxylate and dicarboxylate metabolism"
6472,"hsa00630","SHMT2","Glyoxylate and dicarboxylate metabolism"
6470,"hsa00630","SHMT1","Glyoxylate and dicarboxylate metabolism"
2731,"hsa00630","GLDC","Glyoxylate and dicarboxylate metabolism"
275,"hsa00630","AMT","Glyoxylate and dicarboxylate metabolism"
1738,"hsa00630","DLD","Glyoxylate and dicarboxylate metabolism"
2653,"hsa00630","GCSH","Glyoxylate and dicarboxylate metabolism"
81888,"hsa00630","HYI","Glyoxylate and dicarboxylate metabolism"
132158,"hsa00630","GLYCTK","Glyoxylate and dicarboxylate metabolism"
112817,"hsa00630","HOGA1","Glyoxylate and dicarboxylate metabolism"
125061,"hsa00630","AFMID","Glyoxylate and dicarboxylate metabolism"
84532,"hsa00640","ACSS1","Propanoate metabolism"
55902,"hsa00640","ACSS2","Propanoate metabolism"
79611,"hsa00640","ACSS3","Propanoate metabolism"
593,"hsa00640","BCKDHA","Propanoate metabolism"
594,"hsa00640","BCKDHB","Propanoate metabolism"
1629,"hsa00640","DBT","Propanoate metabolism"
1738,"hsa00640","DLD","Propanoate metabolism"
35,"hsa00640","ACADS","Propanoate metabolism"
8310,"hsa00640","ACOX3","Propanoate metabolism"
51,"hsa00640","ACOX1","Propanoate metabolism"
3030,"hsa00640","HADHA","Propanoate metabolism"
1962,"hsa00640","EHHADH","Propanoate metabolism"
1892,"hsa00640","ECHS1","Propanoate metabolism"
26275,"hsa00640","HIBCH","Propanoate metabolism"
31,"hsa00640","ACACA","Propanoate metabolism"
32,"hsa00640","ACACB","Propanoate metabolism"
23417,"hsa00640","MLYCD","Propanoate metabolism"
18,"hsa00640","ABAT","Propanoate metabolism"
5095,"hsa00640","PCCA","Propanoate metabolism"
5096,"hsa00640","PCCB","Propanoate metabolism"
55862,"hsa00640","ECHDC1","Propanoate metabolism"
84693,"hsa00640","MCEE","Propanoate metabolism"
4594,"hsa00640","MMUT","Propanoate metabolism"
8802,"hsa00640","SUCLG1","Propanoate metabolism"
8801,"hsa00640","SUCLG2","Propanoate metabolism"
8803,"hsa00640","SUCLA2","Propanoate metabolism"
4329,"hsa00640","ALDH6A1","Propanoate metabolism"
160287,"hsa00640","LDHAL6A","Propanoate metabolism"
92483,"hsa00640","LDHAL6B","Propanoate metabolism"
3939,"hsa00640","LDHA","Propanoate metabolism"
3945,"hsa00640","LDHB","Propanoate metabolism"
